Timestamp,value,unit,building,floor,room_type,room_number,modality
2019-01-03 12:00:00,21.549999237060547,°C,JCK,36,Focus Group ,3631,temp
2019-01-03 12:01:00,21.549999237060547,°C,JCK,36,Focus Group ,3631,temp
2019-01-03 12:02:00,21.540000915527344,°C,JCK,36,Focus Group ,3631,temp
2019-01-03 12:03:00,21.540000915527344,°C,JCK,36,Focus Group ,3631,temp
2019-01-03 12:04:00,21.549999237060547,°C,JCK,36,Focus Group ,3631,temp
2019-01-03 12:05:00,21.540000915527344,°C,JCK,36,Focus Group ,3631,temp
2019-01-03 12:06:00,21.540000915527344,°C,JCK,36,Focus Group ,3631,temp
2019-01-03 12:07:00,21.530000686645508,°C,JCK,36,Focus Group ,3631,temp
2019-01-03 12:08:00,21.530000686645508,°C,JCK,36,Focus Group ,3631,temp
2019-01-03 12:09:00,21.530000686645508,°C,JCK,36,Focus Group ,3631,temp
2019-01-03 12:10:00,21.530000686645508,°C,JCK,36,Focus Group ,3631,temp
2019-01-03 12:11:00,21.533334096272785,°C,JCK,36,Focus Group ,3631,temp
2019-01-03 12:12:00,21.536667505900063,°C,JCK,36,Focus Group ,3631,temp
2019-01-03 12:13:00,21.540000915527344,°C,JCK,36,Focus Group ,3631,temp
2019-01-03 12:14:00,21.530000686645508,°C,JCK,36,Focus Group ,3631,temp
2019-01-03 12:15:00,21.530000686645508,°C,JCK,36,Focus Group ,3631,temp
2019-01-03 12:16:00,21.530000686645508,°C,JCK,36,Focus Group ,3631,temp
2019-01-03 12:17:00,21.540000915527344,°C,JCK,36,Focus Group ,3631,temp
2019-01-03 12:18:00,21.530000686645508,°C,JCK,36,Focus Group ,3631,temp
2019-01-03 12:19:00,21.530000686645508,°C,JCK,36,Focus Group ,3631,temp
2019-01-03 12:20:00,21.530000686645508,°C,JCK,36,Focus Group ,3631,temp
2019-01-03 12:21:00,21.530000686645508,°C,JCK,36,Focus Group ,3631,temp
2019-01-03 12:22:00,21.540000915527344,°C,JCK,36,Focus Group ,3631,temp
2019-01-03 12:23:00,21.540000915527344,°C,JCK,36,Focus Group ,3631,temp
